Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
1996JUN,19031846.00,9.24,17491968.00,9.22,7510537.00,8935494.00,1476777.00,2307583.00,2106219.00,3044915.00,1045937.00,1539878.00,,
1996JUL,15298436.00,7.43,14103006.00,7.44,6016528.00,7242756.00,1267116.00,1849880.00,1763328.00,2362432.00,843722.00,1195430.00,,
1996AUG,14925340.00,7.25,13715475.00,7.23,5882064.00,7015334.00,1176294.00,1784276.00,1763604.00,2291160.00,818077.00,1209865.00,,
1996SEP,19052863.00,9.25,17468090.00,9.21,7264348.00,9078971.00,1534106.00,2317774.00,2287961.00,2939130.00,1124771.00,1584773.00,,
1996OCT,15758605.00,7.65,14540550.00,7.67,5906733.00,7652495.00,1318051.00,1950709.00,1991174.00,2392561.00,981322.00,1218055.00,,
1996NOV,17186579.00,8.34,15951142.00,8.41,6133161.00,8803943.00,1749250.00,2338684.00,2147257.00,2568752.00,1014038.00,1235437.00,TOTAL SALES IN 1996 £000s,
1996DEC,24887605.00,12.08,23387466.00,12.33,8401085.00,13842549.00,2997831.00,3861864.00,3086491.00,3896363.00,1143832.00,1500139.00,"20,59,63,231","18,96,65,406"
1997JAN,14692584.00,6.89,13500204.00,6.89,5804258.00,6869192.00,1214425.00,1587796.00,1931327.00,2135644.00,826754.00,1192380.00,,
1997FEB,14978129.00,7.03,13633912.00,6.96,5942491.00,6788553.00,1137864.00,1522745.00,1883980.00,2243964.00,902868.00,1344217.00,,
1997MAR,19221794.00,9.02,17666782.00,9.02,7608581.00,8961982.00,1517024.00,2137922.00,2350961.00,2956075.00,1096219.00,1555012.00,,
1997APR,15761618.00,7.39,14437963.00,7.37,6195897.00,7369429.00,1229474.00,1869612.00,1881567.00,2388776.00,872637.00,1323655.00,,
1997MAY,15515903.00,7.28,14215591.00,7.26,6147783.00,7245287.00,1182577.00,1866006.00,1862032.00,2334672.00,822521.00,1300312.00,,
1997JUN,20035165.00,9.40,18332814.00,9.36,7717624.00,9551951.00,1585222.00,2431408.00,2466056.00,3069265.00,1063239.00,1702351.00,,
1997JUL,16305345.00,7.65,15004009.00,7.66,6304744.00,7825945.00,1358618.00,2045767.00,1972152.00,2449408.00,873320.00,1301336.00,,
1997AUG,15753495.00,7.39,14445581.00,7.38,6244634.00,7379475.00,1253855.00,1871420.00,1934256.00,2319944.00,821472.00,1307914.00,,
1997SEP,19750968.00,9.27,18037500.00,9.21,7641306.00,9306155.00,1602874.00,2380907.00,2408184.00,2914190.00,1090039.00,1713468.00,,
1997OCT,16680320.00,7.83,15309813.00,7.82,6231676.00,8101769.00,1408675.00,2128790.00,2117928.00,2446376.00,976368.00,1370507.00,,
1997NOV,18062836.00,8.47,16613947.00,8.48,6451350.00,9144802.00,1816741.00,2400081.00,2281173.00,2646807.00,1017795.00,1448889.00,TOTAL SALES IN 1997 £000s,
1997DEC,26385840.00,12.38,24653603.00,12.59,8957083.00,14529879.00,3153434.00,4123489.00,3360880.00,3892076.00,1166641.00,1732237.00,"21,31,43,997","19,58,51,719"
1998JAN,15616062.00,7.09,14260728.00,7.04,6100716.00,7351225.00,1292600.00,1697055.00,2141080.00,2220490.00,808787.00,1355334.00,,
1998FEB,15793049.00,7.17,14331277.00,7.08,6271240.00,7138678.00,1189099.00,1593696.00,2013024.00,2342859.00,921359.00,1461772.00,,
1998MAR,19919794.00,9.04,18302761.00,9.04,7997026.00,9184900.00,1547536.00,2121814.00,2509540.00,3006010.00,1120835.00,1617033.00,,
1998APR,16442295.00,7.46,15123012.00,7.47,6568368.00,7695967.00,1262946.00,1864953.00,2089144.00,2478924.00,858677.00,1319283.00,,
1998MAY,16389873.00,7.44,15088770.00,7.45,6543108.00,7732462.00,1248189.00,1982741.00,1964128.00,2537404.00,813200.00,1301103.00,,
1998JUN,20533035.00,9.32,18803167.00,9.28,8229661.00,9497243.00,1567784.00,2346107.00,2453916.00,3129436.00,1076263.00,1729868.00,,
1998JUL,16787606.00,7.62,15401800.00,7.60,6533636.00,8017897.00,1378736.00,2069949.00,2055848.00,2513364.00,850267.00,1385806.00,,
1998AUG,16517093.00,7.49,15088410.00,7.45,6542636.00,7703091.00,1293205.00,1948097.00,1987080.00,2474709.00,842683.00,1428683.00,,
1998SEP,20457968.00,9.28,18614108.00,9.19,7951940.00,9546050.00,1598704.00,2391468.00,2569368.00,2986510.00,1116118.00,1843860.00,,
1998OCT,16907655.00,7.67,15513445.00,7.66,6485856.00,8050229.00,1380261.00,2076712.00,2144637.00,2448619.00,977360.00,1394210.00,,
1998NOV,18427974.00,8.36,17031364.00,8.41,6755234.00,9226726.00,1828075.00,2404452.00,2302124.00,2692075.00,1049404.00,1396610.00,TOTAL SALES IN 1998 £000s,
1998DEC,26612204.00,12.07,24996032.00,12.34,9311302.00,14512137.00,3120611.00,3984026.00,3448350.00,3959150.00,1172593.00,1616172.00,"22,04,04,608","20,25,54,874"
1999JAN,15927897.00,7.02,14658358.00,7.05,6335813.00,7498928.00,1276149.00,1727314.00,2230269.00,2265196.00,823617.00,1269539.00,,
1999FEB,16045793.00,7.07,14645831.00,7.04,6515512.00,7210054.00,1184804.00,1597817.00,2104304.00,2323129.00,920265.00,1399962.00,,
1999MAR,20577246.00,9.06,18957294.00,9.11,8447009.00,9362159.00,1580248.00,2196497.00,2586744.00,2998670.00,1148126.00,1619952.00,,
1999APR,16615430.00,7.32,15186254.00,7.30,6561215.00,7770414.00,1260376.00,1874816.00,2098595.00,2536627.00,854625.00,1429176.00,,
1999MAY,16932808.00,7.46,15490417.00,7.45,6760226.00,7899222.00,1257370.00,1984312.00,2064160.00,2593380.00,830969.00,1442391.00,,
1999JUN,21230836.00,9.35,19339566.00,9.30,8448956.00,9851279.00,1629429.00,2469968.00,2560872.00,3191010.00,1039331.00,1891270.00,,
1999JUL,17252002.00,7.60,15805361.00,7.60,6787271.00,8197949.00,1421980.00,2127562.00,2111044.00,2537363.00,820141.00,1446641.00,,
1999AUG,16920170.00,7.45,15457393.00,7.43,6650195.00,7970781.00,1336760.00,1972541.00,2147512.00,2513968.00,836417.00,1462777.00,,
1999SEP,20944093.00,9.23,19046628.00,9.16,8220532.00,9748082.00,1649480.00,2402993.00,2647035.00,3048574.00,1078014.00,1897465.00,,
1999OCT,17519316.00,7.72,15989432.00,7.69,6624892.00,8410004.00,1460990.00,2146115.00,2286172.00,2516727.00,954536.00,1529884.00,,
1999NOV,19188036.00,8.45,17572471.00,8.45,6935518.00,9581954.00,1897065.00,2426856.00,2470527.00,2787506.00,1054999.00,1615565.00,TOTAL SALES IN 1999 £000s,
1999DEC,27871015.00,12.28,25884731.00,12.44,9877340.00,14878962.00,3302688.00,4114054.00,3490219.00,3972001.00,1128429.00,1986284.00,"22,70,24,642","20,80,33,736"
2000JAN,16914150.00,7.11,15283753.00,7.11,6494869.00,7988476.00,1404784.00,1822622.00,2426617.00,2334453.00,800408.00,1630397.00,,
2000FEB,16785524.00,7.06,15043916.00,7.00,6657266.00,7459579.00,1302811.00,1640362.00,2153515.00,2362891.00,927071.00,1741608.00,,
2000MAR,21206203.00,8.92,19196858.00,8.93,8422885.00,9618107.00,1630695.00,2234507.00,2727050.00,3025855.00,1155866.00,2009345.00,,
2000APR,18036985.00,7.58,15900145.00,7.40,7028472.00,8048193.00,1371388.00,1957758.00,2212247.00,2506800.00,823480.00,2136840.00,,
2000MAY,17627870.00,7.41,15794076.00,7.35,6848852.00,8069457.00,1318636.00,2095520.00,2124468.00,2530833.00,875767.00,1833794.00,,
2000JUN,22022502.00,9.26,19698577.00,9.17,8602605.00,10064612.00,1689622.00,2550258.00,2622511.00,3202221.00,1031360.00,2323925.00,,
2000JUL,17845299.00,7.50,16133791.00,7.51,6904066.00,8395850.00,1451084.00,2191106.00,2167465.00,2586195.00,833875.00,1711508.00,,
2000AUG,17607440.00,7.40,15889481.00,7.39,6888784.00,8143248.00,1370718.00,2048633.00,2169528.00,2554369.00,857449.00,1717959.00,,
2000SEP,21924239.00,9.22,19668029.00,9.15,8452161.00,10054786.00,1709809.00,2586766.00,2690831.00,3067380.00,1161082.00,2256210.00,,
2000OCT,18281228.00,7.69,16580039.00,7.72,6831752.00,8705425.00,1508931.00,2348043.00,2306243.00,2542208.00,1042862.00,1701189.00,,
2000NOV,19982687.00,8.40,18154060.00,8.45,7209021.00,9787795.00,1932816.00,2508472.00,2542415.00,2804092.00,1157244.00,1828627.00,TOTAL SALES IN 2000 £000s,
2000DEC,29630772.00,12.46,27546157.00,12.82,10322477.00,15845308.00,3460231.00,4323842.00,3651911.00,4409324.00,1378372.00,2084615.00,"23,78,64,899","21,48,88,882"
